context,model,uses_smote,trial,threshold,accuracy,roc_auc,pr_auc,precision,recall,f1,mcc,brier,params
outer_fold_3,Extra Trees,False,2,0.2583419886779408,0.8909930715935335,0.8143192941782587,0.9656570082068066,0.9374037968188815,0.9412673879443586,0.9393316195372751,0.4030728564493827,0.10710728708841012,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 187}"
outer_fold_3,Extra Trees,False,1,0.0650815880670691,0.8415704387990762,0.8233111154044307,0.9705971469379252,0.9478699551569507,0.871200412158681,0.9079194630872484,0.3647224590157649,0.2878130558025427,"{""max_depth"": 12, ""max_features"": 0.35, ""min_samples_leaf"": 3, ""min_samples_split"": 7, ""n_estimators"": 237}"
outer_fold_3,Extra Trees + SMOTE,True,1,0.6400398208063713,0.9187066974595843,0.9142792743063222,0.9879005903721416,0.9627687467226009,0.9459041731066461,0.9542619542619543,0.5912357900947092,0.05905213340011279,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 164}"
outer_fold_3,Extra Trees + SMOTE,True,2,0.5479487618747032,0.9066974595842956,0.9128716788106279,0.987251147531239,0.965720407070166,0.9289026275115919,0.946953781512605,0.568584020095078,0.08918665056460821,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 7, ""n_estimators"": 150}"
outer_fold_3,Gradient Boosting,False,1,0.40800085117159335,0.9094688221709007,0.8900051519835135,0.9847313058910001,0.9485861182519281,0.9505409582689336,0.9495625321667525,0.5081512549802478,0.07843975813236305,"{""learning_rate"": 0.06748856957736574, ""max_depth"": 4, ""min_samples_leaf"": 21, ""n_estimators"": 157, ""subsample"": 0.7}"
outer_fold_3,Gradient Boosting,False,2,0.387254771718938,0.8951501154734411,0.8734889048355045,0.9827237838674363,0.947286012526096,0.9350850077279753,0.9411459683691988,0.4622289001646315,0.11209358780993678,"{""learning_rate"": 0.02838136326716127, ""max_depth"": 3, ""min_samples_leaf"": 15, ""n_estimators"": 130, ""subsample"": 0.7}"
final_internal_train,Dummy Prior,False,1,1e-06,0.8964879852125693,0.49812990918016686,0.8960898981947407,0.8964879852125693,1.0,0.9454191033138402,0.0,0.24999999999999986,{}
final_internal_train,Logistic Regression,False,1,0.7878574314323074,0.8764633394947627,0.8401161839306168,0.9748128439693787,0.9450159631074849,0.9154639175257732,0.9300052365159713,0.40931548775016824,0.1018338555118621,"{""model__C"": 1.3264351683200613}"
final_internal_train,Logistic Regression,False,2,0.7097198281587703,0.8798521256931608,0.8387047946326296,0.974623781241821,0.9433497536945813,0.9213058419243986,0.9321974965229486,0.4080115061761312,0.10447357003361886,"{""model__C"": 3.2081321037901667}"
final_internal_train,Linear SVC,False,2,0.5750152936264157,0.8699938385705484,0.7602417771232204,0.9506933719224558,0.9367977528089888,0.9168384879725086,0.9267106634248002,0.3539738121212529,0.09572791048249588,"{""model__C"": 1.308149278951461}"
final_internal_train,Linear SVC,False,1,0.5584127532407873,0.8764633394947627,0.7522848142693503,0.9467136587204313,0.9327354260089686,0.9292096219931272,0.9309691857462558,0.3439292413914377,0.09526563081736993,"{""model__C"": 2.992252265515581}"
final_internal_train,Random Forest,False,1,0.2386013876012439,0.8872458410351202,0.886579528718704,0.9846353481128937,0.9526690391459075,0.9199312714776632,0.936013986013986,0.46820083053193556,0.18852977495529183,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 157}"
final_internal_train,Random Forest,False,2,0.22634923923162759,0.829328404189772,0.8452201971854034,0.9776310593871964,0.9537750385208013,0.8508591065292096,0.8993824918270977,0.37582401849648894,0.19874100739514755,"{""max_depth"": 16, ""max_features"": 0.35, ""min_samples_leaf"": 3, ""min_samples_split"": 5, ""n_estimators"": 136}"
final_internal_train,Extra Trees,False,2,0.07374920046946407,0.9199014171287738,0.8490135616102112,0.9732976439800335,0.9315960912052117,0.9828178694158075,0.9565217391304348,0.4813407573640884,0.1082641499721038,"{""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""n_estimators"": 242}"
final_internal_train,Extra Trees,False,1,0.12781837873984317,0.8863216266173752,0.8826700826378661,0.9831607157609001,0.9500531349628055,0.9216494845360824,0.9356357927786499,0.4542552560305709,0.30579939769275555,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 5, ""n_estimators"": 129}"
final_internal_train,Extra Trees + SMOTE,True,1,0.4760691928274766,0.9245224892174985,0.9052400384552447,0.9863742165874425,0.9460997656511551,0.9711340206185567,0.958453450907241,0.5530761417940839,0.06129148419947569,"{""max_depth"": 28, ""max_features"": 0.35, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 211}"
final_internal_train,Extra Trees + SMOTE,True,2,0.6892444497990253,0.9020332717190388,0.8998041441662576,0.984732720303171,0.9595744680851064,0.9298969072164949,0.9445026178010472,0.5328297346201455,0.06315697149966855,"{""max_depth"": 28, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 207}"
final_internal_train,Gradient Boosting,False,2,0.6517655031256134,0.895871842267406,0.9094547741777124,0.9865365612711828,0.9686588921282799,0.9134020618556701,0.9402193137601698,0.5539043043372165,0.06687102295300916,"{""learning_rate"": 0.12481036079160719, ""max_depth"": 6, ""min_samples_leaf"": 21, ""n_estimators"": 114, ""subsample"": 0.85}"
final_internal_train,Gradient Boosting,False,1,0.3361075198473325,0.9121996303142329,0.9059687448862708,0.9870962698589016,0.9505664263645726,0.9515463917525773,0.9510561566202989,0.5250548471867941,0.09553663840900445,"{""learning_rate"": 0.08484782305555662, ""max_depth"": 3, ""min_samples_leaf"": 21, ""n_estimators"": 103, ""subsample"": 0.85}"
